activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,18,gini,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,30,constant,44,log2,11,15,nnClassifier,2,3,adam,distance,0.4932844932844933
identity,ball_tree,20,gini,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,23,adaptive,58,sqrt,5,34,randomForestClassifier,3,8,sgd,uniform,0.4700854700854701
tanh,kd_tree,20,gini,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,27,invscaling,10,auto,19,9,nnClassifier,7,8,adam,distance,0.47374847374847373
tanh,ball_tree,8,entropy,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,31,adaptive,86,sqrt,20,24,kneighborsClassifier,5,7,lbfgs,distance,0.5934065934065934
tanh,brute,16,gini,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,19,constant,63,auto,5,37,nnClassifier,8,6,sgd,uniform,0.4835164835164835
relu,kd_tree,31,entropy,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,25,constant,24,log2,3,24,randomForestClassifier,6,3,sgd,distance,0.46886446886446886
relu,brute,26,gini,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,35,invscaling,74,sqrt,18,34,nnClassifier,9,10,lbfgs,distance,0.4993894993894994
relu,brute,26,entropy,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,8,adaptive,51,auto,17,2,nnClassifier,4,5,sgd,uniform,0.5018315018315018
relu,kd_tree,21,gini,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,8,constant,85,log2,17,15,kneighborsClassifier,8,10,lbfgs,uniform,0.5982905982905983
tanh,auto,13,entropy,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,2,constant,3,auto,5,32,randomForestClassifier,3,1,sgd,distance,0.6471306471306472
logistic,kd_tree,14,entropy,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,35,invscaling,88,sqrt,10,3,nnClassifier,4,10,lbfgs,uniform,0.48473748473748474
tanh,auto,25,gini,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,3,invscaling,99,auto,7,29,randomForestClassifier,1,7,adam,distance,0.4884004884004884
