activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,16,entropy,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,17,constant,16,auto,14,16,kneighborsClassifier,8,4,sgd,distance,0.890497737556561
relu,brute,26,entropy,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,constant,85,log2,19,29,kneighborsClassifier,5,1,sgd,uniform,0.8180995475113122
identity,ball_tree,14,gini,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,36,adaptive,91,log2,2,26,nnClassifier,2,9,lbfgs,distance,0.5040723981900452
relu,brute,13,gini,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,12,adaptive,56,log2,13,30,randomForestClassifier,1,3,lbfgs,distance,0.8986425339366516
identity,ball_tree,30,entropy,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,18,constant,45,log2,14,40,randomForestClassifier,4,1,adam,uniform,0.7909502262443439
relu,ball_tree,11,gini,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,6,invscaling,56,log2,17,11,randomForestClassifier,5,6,adam,distance,0.8307692307692308
logistic,kd_tree,27,entropy,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,5,adaptive,95,log2,20,10,nnClassifier,9,6,adam,distance,0.5113122171945701
logistic,brute,32,gini,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,11,adaptive,93,log2,15,34,randomForestClassifier,8,2,lbfgs,uniform,0.8542986425339366
identity,kd_tree,25,entropy,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,26,invscaling,81,sqrt,6,21,nnClassifier,5,1,adam,uniform,0.49592760180995477
logistic,brute,8,gini,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,6,constant,94,sqrt,14,27,randomForestClassifier,10,9,sgd,uniform,0.9104072398190045
identity,brute,16,gini,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,20,invscaling,23,auto,7,39,kneighborsClassifier,8,4,lbfgs,uniform,0.897737556561086
tanh,kd_tree,22,entropy,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,17,invscaling,25,sqrt,2,38,kneighborsClassifier,2,9,adam,uniform,0.8941176470588236
tanh,kd_tree,14,entropy,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,18,adaptive,69,sqrt,16,23,kneighborsClassifier,2,8,sgd,uniform,0.9276018099547512
identity,ball_tree,10,gini,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,18,invscaling,67,auto,11,27,randomForestClassifier,5,4,lbfgs,uniform,0.7638009049773755
relu,kd_tree,25,entropy,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,22,invscaling,24,log2,5,8,randomForestClassifier,6,3,sgd,distance,0.9457013574660633
tanh,kd_tree,30,entropy,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,30,invscaling,70,auto,3,23,randomForestClassifier,1,3,lbfgs,distance,0.934841628959276
identity,brute,11,entropy,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,adaptive,58,sqrt,6,29,kneighborsClassifier,10,2,lbfgs,distance,0.9013574660633484
relu,auto,32,gini,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,25,invscaling,30,log2,12,33,kneighborsClassifier,3,8,adam,uniform,0.890497737556561
identity,brute,21,gini,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,35,constant,59,log2,19,5,randomForestClassifier,6,2,adam,uniform,0.9076923076923077
identity,kd_tree,14,entropy,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,21,adaptive,76,log2,12,19,nnClassifier,2,2,adam,uniform,0.5076923076923077
tanh,kd_tree,21,gini,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,30,adaptive,61,sqrt,20,31,nnClassifier,8,1,adam,uniform,0.5076923076923077
relu,ball_tree,23,gini,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,40,constant,62,log2,13,4,kneighborsClassifier,9,8,lbfgs,uniform,0.8778280542986425
tanh,auto,8,gini,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,13,invscaling,7,log2,20,14,kneighborsClassifier,6,6,adam,uniform,0.8407239819004525
tanh,ball_tree,12,entropy,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,7,constant,81,log2,5,2,randomForestClassifier,6,4,sgd,distance,0.9194570135746606
tanh,kd_tree,13,gini,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,27,constant,10,log2,17,11,randomForestClassifier,3,9,sgd,distance,0.9176470588235294
identity,kd_tree,17,entropy,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,17,constant,88,auto,13,25,randomForestClassifier,4,2,sgd,distance,0.9212669683257918
