feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,0,0,1,nnClassifier,relu,NA,9,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,622.9157347679138
1,1,1,1,0,0,nnClassifier,logistic,NA,17,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,626.9038321971893
1,0,0,0,0,0,nnClassifier,identity,NA,24,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,1.0,632.658863067627
1,1,0,0,1,0,nnClassifier,relu,NA,15,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,1.0,651.1403894424438
0,0,1,1,0,0,nnClassifier,logistic,NA,12,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,1.0,678.9620044231415
0,1,0,1,0,1,nnClassifier,relu,NA,24,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,1.0,692.8659634590149
1,1,1,1,0,0,nnClassifier,relu,NA,26,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,696.8543765544891
1,0,1,0,0,1,nnClassifier,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,700.7344071865082
1,1,0,0,0,0,nnClassifier,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,704.8509883880615
1,0,1,0,0,0,nnClassifier,relu,NA,26,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,1.0,717.8292334079742
0,1,1,1,0,0,nnClassifier,relu,NA,24,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,1.0,732.4741063117981
1,0,0,0,0,1,nnClassifier,relu,NA,29,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,1.0,739.5371737480164
0,0,0,0,0,0,nnClassifier,identity,NA,28,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.0,743.1329829692841
0,0,0,0,0,0,nnClassifier,tanh,NA,22,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.0,746.9307076931
0,0,1,0,1,0,nnClassifier,identity,NA,23,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,750.7858147621155
0,0,1,0,1,0,nnClassifier,identity,NA,11,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,1.0,758.9436113834381
1,1,1,1,1,1,nnClassifier,logistic,NA,14,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,1.0,770.0302445888519
0,1,1,1,0,0,nnClassifier,tanh,NA,12,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,1.0,784.4366571903229
1,0,0,1,0,0,nnClassifier,logistic,NA,14,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,1.0,795.6749596595764
0,0,0,1,1,1,nnClassifier,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,1.0,807.6104347705841
1,0,1,0,1,0,nnClassifier,relu,NA,8,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,1.0,822.8343369960785
