activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,28,entropy,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,21,invscaling,64,sqrt,5,28,nnClassifier,6,4,sgd,distance,0.033820840950639856
tanh,auto,28,entropy,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,18,constant,72,log2,3,39,kneighborsClassifier,1,4,adam,uniform,0.4076782449725777
logistic,auto,15,entropy,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,11,constant,87,log2,12,26,randomForestClassifier,7,4,lbfgs,uniform,0.5557586837294333
logistic,auto,26,gini,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,4,adaptive,93,sqrt,19,10,nnClassifier,10,3,lbfgs,uniform,0.12705667276051189
relu,brute,16,gini,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2,invscaling,73,auto,9,8,nnClassifier,8,10,lbfgs,distance,0.23308957952468007
tanh,ball_tree,25,gini,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,39,constant,89,log2,14,39,randomForestClassifier,6,8,lbfgs,uniform,0.573126142595978
identity,ball_tree,24,entropy,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,17,adaptive,49,log2,5,28,randomForestClassifier,7,2,lbfgs,distance,0.5850091407678245
relu,auto,9,entropy,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,12,invscaling,62,auto,19,2,kneighborsClassifier,9,4,sgd,uniform,0.4424131627056673
identity,auto,25,entropy,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,8,constant,78,sqrt,5,35,nnClassifier,5,2,lbfgs,distance,0.07221206581352833
tanh,ball_tree,13,entropy,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,24,invscaling,29,log2,8,30,kneighborsClassifier,7,8,sgd,distance,0.4323583180987203
relu,ball_tree,10,gini,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,38,constant,98,sqrt,15,18,kneighborsClassifier,2,3,adam,uniform,0.40950639853747717
