feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,0,0,0,0,0,1,0,0,nnRegressor,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.9999999969235137,776.5839257240295
1,1,1,1,1,1,1,0,0,1,1,0,nnRegressor,identity,NA,13,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.9999676142110459,799.6356041431427
0,1,1,1,0,1,0,0,0,1,1,0,nnRegressor,logistic,NA,13,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.9980897695442065,809.4695737361908
1,1,1,1,1,1,0,1,1,0,0,0,nnRegressor,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9930880705448517,850.6912434101105
0,1,1,1,0,0,0,0,1,0,0,1,nnRegressor,relu,NA,30,NA,nan,adaptive,nan,NA,nan,nan,9,nan,adam,NA,0.9990161758968427,857.5693719387054
1,0,1,0,0,1,0,0,1,1,0,0,nnRegressor,identity,NA,31,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.9999999999915883,869.8446130752563
0,0,1,0,0,1,1,0,1,1,0,1,nnRegressor,logistic,NA,15,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.999454000594717,877.3294546604156
1,1,1,0,0,0,1,1,1,0,1,0,nnRegressor,tanh,NA,11,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.9992033376335856,888.690181016922
0,1,1,1,1,0,1,1,1,1,1,1,nnRegressor,logistic,NA,27,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.9998121195151485,896.1134934425354
0,0,1,0,0,1,0,1,0,1,1,0,nnRegressor,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.9999999999292905,902.2183136940002
1,0,1,0,0,0,1,0,1,0,0,1,nnRegressor,logistic,NA,23,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.9978095859141911,922.0957424640656
0,1,1,0,0,1,0,0,0,0,0,1,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.9999430229022237,929.1164371967316
0,1,1,0,1,0,1,0,0,0,1,0,nnRegressor,logistic,NA,17,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.9994201763389998,937.6591618061066
0,0,1,1,1,1,0,1,1,0,0,0,nnRegressor,logistic,NA,19,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.9996818899476485,946.1269860267639
1,1,1,0,0,0,0,1,0,1,1,0,nnRegressor,tanh,NA,32,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.9994828134634596,955.4367213249207
1,0,1,1,1,0,0,1,1,1,0,1,nnRegressor,identity,NA,12,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.9999346646845161,963.1333043575287
0,0,1,1,1,0,0,0,0,0,1,0,nnRegressor,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.9962611146808595,980.6731462478638
0,0,1,1,0,1,1,1,0,1,1,1,nnRegressor,identity,NA,15,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.9999999875723319,989.3387956619263
1,1,1,0,1,0,1,1,0,1,1,1,nnRegressor,relu,NA,17,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.9405504342953801,996.5747447013855
1,0,1,1,1,1,0,0,1,0,1,0,nnRegressor,logistic,NA,16,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9955001982639234,1021.2160320281982
0,0,1,1,0,0,0,0,1,0,0,0,nnRegressor,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.9997997949411065,1027.8976738452911
