activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,49,auto,9,11,nnClassifier,3,10,adam,distance,0.5067155067155067,2831.863458781969
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,71,auto,9,24,nnClassifier,4,9,adam,distance,0.5018315018315018,2831.8635215710383
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,17,auto,7,15,nnClassifier,5,10,adam,distance,0.5103785103785103,2831.8635843300726
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,40,auto,9,13,nnClassifier,5,8,adam,distance,0.5067155067155067,2831.8636468790937
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,74,auto,11,13,nnClassifier,6,10,adam,distance,0.5091575091575091,2831.8637096171733
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,26,auto,5,15,nnClassifier,5,10,adam,distance,0.49572649572649574,2831.8637724961154
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,30,auto,7,11,nnClassifier,6,10,adam,distance,0.49572649572649574,2831.8638348651584
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,56,auto,8,13,nnClassifier,3,10,adam,distance,0.5103785103785103,2831.8639146240894
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,60,auto,7,20,nnClassifier,5,9,adam,distance,0.503052503052503,2831.863977843197
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,36,auto,7,18,nnClassifier,6,10,adam,distance,0.4981684981684982,2831.8640407121275
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,65,auto,14,15,nnClassifier,5,10,adam,distance,0.49694749694749696,2831.8641038811766
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,49,auto,9,10,nnClassifier,5,10,adam,distance,0.5091575091575091,2831.864167220192
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,26,auto,7,11,nnClassifier,5,10,adam,distance,0.5018315018315018,2831.8642307680566
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,22,auto,5,17,nnClassifier,5,10,adam,distance,0.4945054945054945,2831.8642939471174
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,26,auto,7,10,nnClassifier,2,10,adam,distance,0.5238095238095238,2831.864356666105
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,19,auto,9,11,nnClassifier,5,9,adam,distance,0.5018315018315018,2831.8644195550587
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,71,auto,5,11,nnClassifier,6,10,adam,distance,0.5103785103785103,2831.8644821941853
