activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,39,auto,5,19,nnClassifier,10,1,adam,distance,0.304029304029304,729.6634404431097
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,46,auto,6,24,nnClassifier,7,7,adam,distance,0.3058608058608059,729.6634954109322
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,45,auto,7,10,nnClassifier,10,6,adam,distance,0.29853479853479853,729.6635512600187
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,45,auto,12,17,nnClassifier,10,6,adam,distance,0.3076923076923077,729.6636251390446
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,20,auto,8,16,nnClassifier,9,6,adam,distance,0.304029304029304,729.6636809580959
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,77,auto,6,19,nnClassifier,10,6,adam,distance,0.29853479853479853,729.6637355571147
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,21,auto,7,10,nnClassifier,10,8,adam,distance,0.315018315018315,729.6637910059653
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,20,auto,4,13,nnClassifier,10,5,adam,distance,0.29853479853479853,729.6638458149973
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,67,auto,10,12,nnClassifier,9,6,adam,distance,0.3058608058608059,729.6639009430073
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,29,auto,7,22,nnClassifier,9,7,adam,distance,0.3021978021978022,1243.3646424070466
