activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,78,auto,12,17,nnClassifier,6,10,adam,distance,0.2915904936014625,2965.9146623839624
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,66,auto,10,19,nnClassifier,6,9,adam,distance,0.29890310786106034,2965.914720383007
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,66,auto,11,25,nnClassifier,7,7,adam,distance,0.30438756855575866,3899.4489563677926
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,67,auto,12,20,nnClassifier,5,7,adam,distance,0.2806215722120658,3899.449044976849
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,72,auto,14,28,nnClassifier,9,9,adam,distance,0.2861060329067642,3899.4491059358697
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,65,auto,12,24,nnClassifier,6,6,adam,distance,0.29890310786106034,3899.449165084865
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,23,auto,12,15,nnClassifier,6,6,adam,distance,0.29890310786106034,3899.449224394979
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,67,auto,11,22,nnClassifier,5,9,adam,distance,0.2897623400365631,3899.4492828838993
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,62,auto,12,23,nnClassifier,6,6,adam,distance,0.2806215722120658,3899.449341282947
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,65,auto,10,23,nnClassifier,8,8,adam,distance,0.2897623400365631,3899.449399451958
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,53,auto,14,26,nnClassifier,6,10,adam,distance,0.2970749542961609,3899.449457550887
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,68,auto,12,22,nnClassifier,8,8,adam,distance,0.2842778793418647,3899.449516529916
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,72,auto,12,28,nnClassifier,3,6,adam,distance,0.27513711151736747,3899.4495746199973
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,43,auto,11,18,nnClassifier,4,5,adam,distance,0.2897623400365631,3899.4496329987887
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,49,auto,4,22,nnClassifier,8,2,adam,distance,0.2943327239488117,3899.4496911079623
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,70,auto,14,19,nnClassifier,6,1,adam,distance,0.283363802559415,3899.4497496269178
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,70,auto,12,13,nnClassifier,3,7,adam,distance,0.29341864716636196,3899.4498146758415
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,71,auto,12,25,nnClassifier,6,8,adam,distance,0.29341864716636196,3899.449872864876
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,42,auto,13,18,nnClassifier,10,10,adam,distance,0.3007312614259598,3899.44993118383
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,80,auto,9,22,nnClassifier,9,8,adam,distance,0.2870201096892139,3899.4499897439964
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,74,auto,14,21,nnClassifier,6,8,adam,distance,0.3007312614259598,3899.4500545628835
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,70,auto,13,23,nnClassifier,4,8,adam,distance,0.30987202925045704,3899.4501132320147
