feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,nnClassifier,identity,NA,8,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,875.1755061149597
1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,nnClassifier,tanh,NA,10,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,889.8768100738525
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,nnClassifier,identity,NA,21,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.9921875,902.5651731491089
0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,930.320166349411
1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,nnClassifier,identity,NA,10,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,937.7365403175354
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,nnClassifier,tanh,NA,19,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,951.2905068397522
1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,0.998046875,968.3097417354584
1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,nnClassifier,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,976.6760382652283
1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,nnClassifier,identity,NA,30,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.99609375,983.5483069419861
0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,nnClassifier,identity,NA,12,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.994140625,991.5900785923004
0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,nnClassifier,identity,NA,23,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.994140625,1000.162575006485
0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,1006.6110126972198
