,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
45,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,nnClassifier,identity,None,14.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.09140767824497258,ok,229.739568463061
46,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,76.0,sqrt,17.0,37.0,None,None,None,None,0.6096892138939671,ok,232.5669849938713
47,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,16,None,None,None,None,None,None,10,None,uniform,0.4616087751371115,ok,232.7056272579357
48,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,13.0,38.0,None,None,None,None,0.5923217550274223,ok,234.55323657486588
49,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,90.0,sqrt,4.0,32.0,None,None,None,None,0.56672760511883,ok,237.32204531994648
50,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,8,None,uniform,0.45612431444241314,ok,237.46974667790346
51,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,nnClassifier,tanh,None,32.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.09323583180987204,ok,255.14531664387323
52,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,59.0,auto,6.0,6.0,None,None,None,None,0.5877513711151737,ok,258.0260687528644
53,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,sqrt,15.0,3.0,None,None,None,None,0.6352833638025595,ok,260.5924899929669
54,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,9,None,distance,0.4835466179159049,ok,260.82917485106736
55,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,96.0,sqrt,17.0,10.0,None,None,None,None,0.5612431444241316,ok,262.3948478519451
56,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,nnClassifier,relu,None,14.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,0.0603290676416819,ok,266.8604587370064
57,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,83.0,sqrt,14.0,3.0,None,None,None,None,0.6343692870201096,ok,269.4716206858866
58,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,6,None,uniform,0.4524680073126143,ok,269.6357095730491
59,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,73.0,auto,3.0,33.0,None,None,None,None,0.5795246800731262,ok,273.28372205304913
60,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,96.0,sqrt,16.0,12.0,None,None,None,None,0.613345521023766,ok,275.06204884289764
61,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,85.0,sqrt,15.0,3.0,None,None,None,None,0.6398537477148081,ok,277.58247756701894
62,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,4,None,distance,0.4689213893967093,ok,277.8154234199319
63,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,87.0,auto,18.0,17.0,None,None,None,None,0.56672760511883,ok,280.27707937103696
64,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,nnClassifier,tanh,None,23.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.015539305301645339,ok,283.5395939280279
65,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,69.0,sqrt,12.0,30.0,None,None,None,None,0.6416819012797075,ok,285.9648378500715
66,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,79.0,sqrt,11.0,30.0,None,None,None,None,0.6544789762340036,ok,288.4423400880769
67,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,78.0,sqrt,10.0,29.0,None,None,None,None,0.6544789762340036,ok,290.9238708058838
68,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,79.0,sqrt,10.0,27.0,None,None,None,None,0.6453382084095064,ok,293.49496168107726
69,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,53.0,sqrt,10.0,30.0,None,None,None,None,0.643510054844607,ok,296.0553246398922
70,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,92.0,sqrt,9.0,25.0,None,None,None,None,0.659963436928702,ok,298.61675590788946
71,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,95.0,sqrt,11.0,19.0,None,None,None,None,0.6535648994515539,ok,301.1330301219132
72,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,16.0,sqrt,9.0,25.0,None,None,None,None,0.6617915904936015,ok,303.7058957698755
73,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,18.0,sqrt,9.0,25.0,None,None,None,None,0.6572212065813529,ok,306.2439022839535
74,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,14.0,auto,9.0,25.0,None,None,None,None,0.6563071297989032,ok,308.70061786286533
75,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,31.0,log2,7.0,23.0,None,None,None,None,0.659963436928702,ok,310.5827464819886
76,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,32.0,log2,7.0,22.0,None,None,None,None,0.6471663619744058,ok,312.4825402710121
77,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,27.0,log2,7.0,20.0,None,None,None,None,0.6627056672760512,ok,314.39658590289764
78,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,26.0,log2,7.0,20.0,None,None,None,None,0.6508226691042047,ok,316.2589661490638
79,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,nnClassifier,identity,None,17.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.0850091407678245,ok,326.3531614819076
80,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,1,None,uniform,0.5648994515539305,ok,326.53028131392784
81,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,10.0,log2,6.0,15.0,None,None,None,None,0.5795246800731262,ok,328.1135115949437
82,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,36.0,log2,8.0,23.0,None,None,None,None,0.6416819012797075,ok,329.869604652049
83,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,log2,8.0,17.0,None,None,None,None,0.5274223034734917,ok,330.63047301908955
84,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,nnClassifier,logistic,None,22.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.25594149908592323,ok,358.1570662888698
85,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,25.0,log2,13.0,20.0,None,None,None,None,0.5978062157221207,ok,359.9320087279193
86,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,kneighborsClassifier,None,brute,None,None,40,None,None,None,None,None,None,9,None,distance,0.49817184643510054,ok,360.1530213369988
87,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,40.0,log2,12.0,27.0,None,None,None,None,0.6389396709323584,ok,362.0497502090875
88,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,9.0,log2,9.0,15.0,None,None,None,None,0.6288848263254113,ok,363.48221946298145
89,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,20.0,auto,6.0,10.0,None,None,None,None,0.5914076782449725,ok,365.3287126519717
90,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,nnClassifier,logistic,None,29.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.0,ok,367.23142158589326
91,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,kneighborsClassifier,None,auto,None,None,22,None,None,None,None,None,None,7,None,uniform,0.5164533820840951,ok,367.48991819890216
92,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,15.0,log2,4.0,18.0,None,None,None,None,0.6873857404021938,ok,369.30794030893594
93,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,14.0,log2,4.0,13.0,None,None,None,None,0.6709323583180987,ok,371.1444527420681
94,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,13.0,log2,4.0,7.0,None,None,None,None,0.6023765996343693,ok,372.43213219288737
95,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,nnClassifier,relu,None,11.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.21755027422303475,ok,376.980594526045
96,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,5.0,log2,3.0,13.0,None,None,None,None,0.5585009140767825,ok,378.0040649550501
97,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,12,None,None,None,None,None,None,1,None,distance,0.49085923217550276,ok,378.1268335429486
98,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,27.0,log2,5.0,8.0,None,None,None,None,0.6270566727605119,ok,380.12366005103104
99,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,22.0,log2,4.0,15.0,None,None,None,None,0.5840950639853748,ok,381.9158092029393
