feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,2,3,nan,nan,NA,NA,0.8778998778998779,613.0571980476379
1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,log2,13,9,nan,nan,NA,NA,0.8766788766788767,621.8766443729401
1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,sqrt,10,3,nan,nan,NA,NA,0.8766788766788767,630.5552771091461
0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,auto,11,2,nan,nan,NA,NA,0.873015873015873,638.255432844162
0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,41,auto,2,35,nan,nan,NA,NA,0.8742368742368742,645.022082567215
1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,log2,20,24,nan,nan,NA,NA,0.8705738705738706,652.4149594306946
1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,6,27,nan,nan,NA,NA,0.7203907203907204,657.9223232269287
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,auto,11,19,nan,nan,NA,NA,0.8742368742368742,666.349024772644
0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,36,auto,20,21,nan,nan,NA,NA,0.873015873015873,674.5113425254822
0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,auto,11,15,nan,nan,NA,NA,0.8754578754578755,680.8951079845428
1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,12,37,nan,nan,NA,NA,0.884004884004884,688.5561351776123
1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,auto,20,11,nan,nan,NA,NA,0.7973137973137974,695.1558041572571
1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,18,6,nan,nan,NA,NA,0.8632478632478633,701.5959451198578
1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,auto,20,33,nan,nan,NA,NA,0.8754578754578755,709.2089877128601
1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,auto,18,40,nan,nan,NA,NA,0.7472527472527473,715.2113370895386
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,auto,10,9,nan,nan,NA,NA,0.8693528693528694,721.8814368247986
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,20,18,nan,nan,NA,NA,0.7838827838827839,727.9978263378143
0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,nnClassifier,relu,NA,8,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.5115995115995116,771.4360024929047
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,sqrt,20,40,nan,nan,NA,NA,0.8705738705738706,778.4502997398376
0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,9,36,nan,nan,NA,NA,0.8754578754578755,784.7398028373718
0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,auto,5,4,nan,nan,NA,NA,0.8742368742368742,791.8041310310364
