activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9384615384615385
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
relu,brute,17,gini,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.934841628959276
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9330316742081448
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9330316742081448
relu,brute,17,gini,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.951131221719457
relu,brute,23,entropy,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9429864253393665
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,4,invscaling,10,sqrt,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9420814479638009
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,46,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9475113122171945
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9330316742081448
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,3,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9312217194570136
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9420814479638009
relu,brute,9,gini,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,2,6,sgd,distance,0.9339366515837104
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9221719457013575
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,constant,27,sqrt,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9393665158371041
