,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
26,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,84.0,auto,7.0,20.0,None,None,None,None,0.9871794871794872,ok,100.64350419701077
27,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,86.0,auto,8.0,21.0,None,None,None,None,0.9835164835164835,ok,101.51221648207866
28,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,93.0,sqrt,2.0,21.0,None,None,None,None,0.9908424908424909,ok,102.3992815981619
29,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,93.0,sqrt,2.0,27.0,None,None,None,None,0.989010989010989,ok,103.28464968409389
30,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,3.0,27.0,None,None,None,None,0.989010989010989,ok,104.16997262113728
31,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,3.0,30.0,None,None,None,None,0.8992673992673993,ok,104.70876237703487
32,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.9175824175824175,ok,104.79491978301667
33,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,5.0,24.0,None,None,None,None,0.9908424908424909,ok,105.67240317515098
34,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,69.0,sqrt,5.0,22.0,None,None,None,None,0.9871794871794872,ok,106.53147935704328
35,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,2.0,None,None,None,None,None,None,2.0,None,distance,0.9194139194139194,ok,106.62151484610513
36,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,92.0,sqrt,2.0,18.0,None,None,None,None,0.9926739926739927,ok,107.6167719559744
37,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,8.0,None,uniform,0.8589743589743589,ok,107.72408868512139
38,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,nnClassifier,identity,None,31,None,None,constant,None,None,None,None,1,None,adam,None,0.2838827838827839,ok,113.7658182780724
39,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,89.0,sqrt,5.0,17.0,None,None,None,None,0.9835164835164835,ok,114.6428984880913
40,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,72.0,sqrt,2.0,8.0,None,None,None,None,0.989010989010989,ok,115.51708664698526
41,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,nnClassifier,tanh,None,31,None,None,adaptive,None,None,None,None,5,None,sgd,None,0.32234432234432236,ok,125.04726257314906
42,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,34.0,log2,2.0,19.0,None,None,None,None,0.9871794871794872,ok,125.93563395715319
43,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,9.0,None,None,None,None,None,None,10.0,None,uniform,0.8681318681318682,ok,126.02483207010664
44,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,6.0,39.0,None,None,None,None,0.9029304029304029,ok,126.5653845560737
45,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,nnClassifier,tanh,None,8,None,None,constant,None,None,None,None,5,None,adam,None,0.3315018315018315,ok,159.227658392163
46,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,10.0,11.0,None,None,None,None,0.9743589743589743,ok,160.08462747000158
47,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,32.0,None,None,None,None,None,None,7.0,None,distance,0.8498168498168498,ok,160.2659462960437
48,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,100.0,log2,13.0,24.0,None,None,None,None,0.9816849816849816,ok,161.13634007098153
49,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,nnClassifier,identity,None,17,None,None,adaptive,None,None,None,None,1,None,lbfgs,None,0.18864468864468864,ok,161.38413653406315
50,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,15.0,sqrt,4.0,29.0,None,None,None,None,0.9945054945054945,ok,162.606310849078
51,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,11.0,sqrt,12.0,30.0,None,None,None,None,0.9908424908424909,ok,163.79345231107436
52,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,2.0,None,uniform,0.8296703296703297,ok,163.86702531506307
53,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,20.0,sqrt,4.0,38.0,None,None,None,None,0.9926739926739927,ok,165.10466016014107
54,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,nnClassifier,relu,None,26,None,None,constant,None,None,None,None,3,None,adam,None,0.32051282051282054,ok,176.3447961800266
55,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,24.0,log2,4.0,40.0,None,None,None,None,0.9945054945054945,ok,177.61801848514006
56,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,24.0,log2,10.0,33.0,None,None,None,None,0.9853479853479854,ok,178.84601844893768
57,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,kneighborsClassifier,None,brute,None,None,32.0,None,None,None,None,None,None,6.0,None,distance,0.8681318681318682,ok,178.93910829513334
58,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,14.0,log2,20.0,40.0,None,None,None,None,0.9157509157509157,ok,180.38845242816024
59,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,nnClassifier,identity,None,12,None,None,adaptive,None,None,None,None,6,None,sgd,None,0.2692307692307692,ok,192.09917873097584
