,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
74,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,nnClassifier,identity,None,28.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,367.07267202809453
75,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,nnClassifier,identity,None,28.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,1.0,ok,369.06573737901635
76,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,1,None,distance,0.9915522703273495,ok,369.184250602033
77,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,nnClassifier,tanh,None,15.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,387.0552624021657
78,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,nnClassifier,tanh,None,15.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,404.9764062589966
79,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,47.0,sqrt,8.0,30.0,None,None,None,None,0.9947201689545935,ok,405.59835139196366
80,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,14.0,None,None,constant,None,None,None,None,5.0,None,sgd,None,0.9989440337909187,ok,412.92710004909895
81,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,35,None,None,None,None,None,None,9,None,uniform,0.9926082365364308,ok,413.0615633840207
82,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,1.0,ok,413.4759012181312
83,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,nnClassifier,tanh,None,18.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,1.0,ok,422.745709993178
