feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,1,0,1,0,1,1,1,0,0,0,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9909638554216867,491.79579734802246
1,0,0,1,0,1,1,1,1,1,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9939759036144579,496.5198938846588
1,0,1,1,1,0,1,1,1,1,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9979919678714859,501.02604055404663
1,0,0,0,0,1,0,1,1,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9929718875502008,505.4253475666046
0,0,0,0,0,0,0,0,1,0,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8273092369477911,509.9126970767975
0,0,0,1,0,1,0,1,1,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9809236947791165,514.463981628418
1,0,0,0,1,0,1,0,1,0,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9889558232931727,519.0866897106171
1,0,0,1,1,0,1,1,1,1,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9658634538152611,523.2783162593842
0,0,0,0,1,1,0,1,1,0,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9748995983935743,528.1510944366455
1,0,0,1,0,1,1,1,1,0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9919678714859438,532.856076002121
1,0,0,1,1,1,0,0,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9869477911646586,537.70787525177
0,0,0,1,1,0,1,1,1,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9829317269076305,542.3686034679413
0,0,0,0,0,0,0,1,1,0,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9497991967871486,546.6572980880737
1,0,0,1,1,1,0,1,1,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9819277108433735,550.876487493515
0,0,1,0,0,0,1,1,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9919678714859438,555.1475241184235
0,0,0,1,0,0,1,0,1,0,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9437751004016064,560.0012640953064
1,0,0,1,0,0,0,1,1,0,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9769076305220884,564.5715048313141
0,0,1,0,0,1,1,1,1,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9909638554216867,569.1989009380341
1,0,1,0,1,1,0,1,1,0,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9909638554216867,574.0160195827484
1,0,1,0,0,0,0,1,1,0,1,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9939759036144579,578.2741167545319
