feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,auto,4,16,nan,nan,NA,NA,0.989010989010989,506.7834620475769
0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8846153846153846,511.25772166252136
1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,sqrt,16,18,nan,nan,NA,NA,0.9285714285714286,516.6659507751465
1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,3,39,nan,nan,NA,NA,0.9761904761904762,522.4669485092163
0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,sqrt,18,24,nan,nan,NA,NA,0.9560439560439561,527.7485630512238
0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,1,7,nan,nan,NA,NA,0.9304029304029304,532.8462617397308
0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,auto,1,20,nan,nan,NA,NA,0.9322344322344323,538.1387274265289
0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,sqrt,20,5,nan,nan,NA,NA,0.9908424908424909,543.4712545871735
0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,8,28,nan,nan,NA,NA,0.9853479853479854,549.2332470417023
0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,log2,18,4,nan,nan,NA,NA,0.9578754578754579,555.1008808612823
1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,7,25,nan,nan,NA,NA,0.9761904761904762,560.3027155399323
0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,nnClassifier,logistic,NA,12,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.36446886446886445,586.3744313716888
1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,log2,18,31,nan,nan,NA,NA,0.9615384615384616,591.4851815700531
1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,23,auto,15,17,nan,nan,NA,NA,0.9835164835164835,597.2209689617157
0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,18,auto,12,22,nan,nan,NA,NA,0.9487179487179487,602.232424736023
0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,56,auto,20,28,nan,nan,NA,NA,0.9798534798534798,607.2506971359253
1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,sqrt,20,19,nan,nan,NA,NA,0.9926739926739927,614.5004646778107
0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,sqrt,9,33,nan,nan,NA,NA,0.9267399267399268,620.1239366531372
1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,59,auto,8,17,nan,nan,NA,NA,0.9212454212454212,626.0593867301941
0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,auto,6,40,nan,nan,NA,NA,0.9505494505494505,631.1225745677948
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,10,7,nan,nan,NA,NA,0.891941391941392,636.2101337909698
