activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,21,entropy,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,20,constant,1,sqrt,9,31,randomForestClassifier,4,3,adam,distance,0.9436363636363636
logistic,kd_tree,13,gini,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,15,adaptive,92,sqrt,12,13,nnClassifier,1,1,adam,distance,0.0
tanh,kd_tree,23,gini,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,22,adaptive,84,sqrt,3,12,kneighborsClassifier,10,3,sgd,distance,0.9836363636363636
tanh,auto,11,gini,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,3,adaptive,58,sqrt,6,25,kneighborsClassifier,5,8,adam,distance,0.9872727272727273
relu,brute,15,gini,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,27,constant,82,auto,16,13,nnClassifier,1,5,lbfgs,distance,0.007272727272727273
logistic,brute,29,entropy,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,30,constant,10,sqrt,2,15,kneighborsClassifier,5,8,lbfgs,uniform,0.9781818181818182
logistic,auto,24,entropy,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,6,invscaling,63,sqrt,12,12,nnClassifier,2,6,adam,distance,0.02181818181818182
identity,auto,31,entropy,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,10,constant,37,sqrt,14,22,nnClassifier,4,10,adam,uniform,0.07272727272727272
tanh,auto,25,entropy,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,18,constant,64,auto,3,33,nnClassifier,5,7,adam,distance,0.09454545454545454
tanh,kd_tree,14,entropy,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,31,adaptive,21,auto,8,27,nnClassifier,9,1,sgd,distance,0.09818181818181818
logistic,kd_tree,14,entropy,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,7,constant,88,log2,5,25,nnClassifier,5,7,sgd,uniform,0.025454545454545455
relu,brute,8,gini,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,10,constant,98,log2,6,8,kneighborsClassifier,5,2,lbfgs,distance,0.9818181818181818
relu,auto,21,entropy,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,29,adaptive,31,log2,20,4,randomForestClassifier,5,2,sgd,distance,0.9563636363636364
tanh,kd_tree,23,gini,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,24,adaptive,73,log2,6,36,kneighborsClassifier,5,3,adam,uniform,0.9927272727272727
identity,auto,14,entropy,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,32,constant,77,sqrt,11,14,randomForestClassifier,4,9,adam,uniform,0.9581818181818181
tanh,auto,24,gini,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,24,invscaling,12,log2,16,33,kneighborsClassifier,6,9,sgd,distance,0.9927272727272727
