feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,6,4,nan,nan,NA,NA,0.5676416819012797,227.1026451587677
0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,log2,15,28,nan,nan,NA,NA,0.603290676416819,233.72354984283447
0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,sqrt,12,29,nan,nan,NA,NA,0.5868372943327239,240.6301064491272
1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,log2,8,27,nan,nan,NA,NA,0.6087751371115173,247.64889526367188
1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,auto,8,2,nan,nan,NA,NA,0.5109689213893968,253.6492440700531
0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,23,auto,13,22,nan,nan,NA,NA,0.526508226691042,259.89895844459534
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,auto,8,10,nan,nan,NA,NA,0.556672760511883,265.7511353492737
1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,25,sqrt,6,30,nan,nan,NA,NA,0.5621572212065814,274.06679010391235
0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,58,sqrt,8,38,nan,nan,NA,NA,0.6023765996343693,280.47415947914124
1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,nnClassifier,tanh,NA,28,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,0.09597806215722121,304.96594524383545
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,auto,14,36,nan,nan,NA,NA,0.4844606946983547,310.7450807094574
1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,log2,12,38,nan,nan,NA,NA,0.5109689213893968,316.9501428604126
1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,log2,6,26,nan,nan,NA,NA,0.6224862888482633,324.4846568107605
0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,sqrt,4,3,nan,nan,NA,NA,0.6270566727605119,331.9504280090332
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,auto,7,31,nan,nan,NA,NA,0.5475319926873857,338.37081265449524
1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,log2,6,4,nan,nan,NA,NA,0.6170018281535649,345.99522852897644
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,auto,1,24,nan,nan,NA,NA,0.6115173674588665,353.3331084251404
1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,log2,3,30,nan,nan,NA,NA,0.6334552102376599,360.12775778770447
1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,log2,1,26,nan,nan,NA,NA,0.6325411334552102,367.27135825157166
0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,38,sqrt,7,7,nan,nan,NA,NA,0.583180987202925,374.9938168525696
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,sqrt,5,16,nan,nan,NA,NA,0.6462522851919561,382.0355725288391
0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,log2,1,3,nan,nan,NA,NA,0.5795246800731262,389.73043966293335
1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,log2,2,35,nan,nan,NA,NA,0.6051188299817185,396.49145460128784
1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,log2,5,2,nan,nan,NA,NA,0.6407678244972578,403.3481409549713
1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,sqrt,6,17,nan,nan,NA,NA,0.6261425959780622,409.54214000701904
0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,sqrt,6,16,nan,nan,NA,NA,0.603290676416819,417.13604712486267
1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,auto,7,9,nan,nan,NA,NA,0.6215722120658135,423.5828363895416
0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,log2,5,12,nan,nan,NA,NA,0.6645338208409507,430.35544323921204
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,auto,1,5,nan,nan,NA,NA,0.613345521023766,437.1193823814392
1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,35,sqrt,4,12,nan,nan,NA,NA,0.6581352833638026,444.52042174339294
1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,sqrt,5,19,nan,nan,NA,NA,0.5639853747714808,450.35483479499817
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,52,log2,3,31,nan,nan,NA,NA,0.5402193784277879,458.0979971885681
0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,auto,5,11,nan,nan,NA,NA,0.6005484460694699,466.1435458660126
1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,1,2,nan,nan,NA,NA,0.7020109689213894,473.18139266967773
1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5365630712979891,478.17092275619507
0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,auto,1,36,nan,nan,NA,NA,0.4963436928702011,483.9044692516327
1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,log2,1,3,nan,nan,NA,NA,0.6846435100548446,490.62555623054504
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,auto,2,40,nan,nan,NA,NA,0.5996343692870201,498.445796251297
0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,83,auto,1,4,nan,nan,NA,NA,0.6142595978062158,505.60684275627136
0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,log2,1,14,nan,nan,NA,NA,0.6992687385740403,511.8790514469147
0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,90,sqrt,1,3,nan,nan,NA,NA,0.5813528336380256,518.5642364025116
1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,29,sqrt,2,34,nan,nan,NA,NA,0.6243144424131627,525.0967764854431
1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.4460694698354662,530.2689030170441
