,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
42,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,nnClassifier,identity,None,32.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.5122171945701357,ok,162.73556388705038
43,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,1.0,log2,13.0,10.0,None,None,None,None,0.9285067873303168,ok,163.30415124003775
44,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,39.0,log2,10.0,16.0,None,None,None,None,0.8289592760180996,ok,163.88492547208443
45,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,36,None,None,None,None,None,None,4,None,distance,0.9475113122171945,ok,164.11436095298268
46,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,37,None,None,None,None,None,None,4,None,distance,0.9113122171945701,ok,164.433569988003
47,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,39,None,None,None,None,None,None,4,None,distance,0.8552036199095022,ok,164.66970108705573
48,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,30,None,None,None,None,None,None,1,None,distance,0.9067873303167421,ok,164.83609346696176
49,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,9,None,distance,0.9248868778280543,ok,165.13402325008065
50,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,20,None,None,None,None,None,None,8,None,distance,0.902262443438914,ok,165.38202277291566
51,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,3,None,distance,0.9321266968325792,ok,165.59731593099423
52,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,kneighborsClassifier,None,auto,None,None,16,None,None,None,None,None,None,5,None,uniform,0.9230769230769231,ok,165.87174014304765
53,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,nnClassifier,tanh,None,23.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.502262443438914,ok,173.362248665886
54,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,1,None,distance,0.9167420814479638,ok,173.6916976950597
55,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,kneighborsClassifier,None,brute,None,None,26,None,None,None,None,None,None,8,None,distance,0.9339366515837104,ok,173.93953493097797
56,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,nnClassifier,logistic,None,13.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.5158371040723982,ok,209.9267196180299
57,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,2,None,distance,0.8524886877828054,ok,210.15827809995972
58,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,5,None,uniform,0.9122171945701357,ok,210.41994375386275
59,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,nnClassifier,tanh,None,27.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.5076923076923077,ok,235.3932909979485
60,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,3,None,distance,0.9076923076923077,ok,235.56189630785957
61,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,31,None,None,None,None,None,None,9,None,distance,0.8280542986425339,ok,235.81243588496
62,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,nnClassifier,identity,None,13.0,None,None,invscaling,None,None,None,None,1.0,None,lbfgs,None,0.5076923076923077,ok,236.16130840894766
63,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,39,None,None,None,None,None,None,3,None,uniform,0.930316742081448,ok,236.4564039199613
64,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,88.0,log2,17.0,23.0,None,None,None,None,0.9321266968325792,ok,237.0088992069941
65,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,52.0,log2,15.0,38.0,None,None,None,None,0.934841628959276,ok,237.5958951660432
66,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,31.0,log2,7.0,5.0,None,None,None,None,0.9429864253393665,ok,238.2027449659072
67,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,23.0,log2,12.0,17.0,None,None,None,None,0.9420814479638009,ok,238.79632345889695
68,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,46.0,log2,11.0,5.0,None,None,None,None,0.9429864253393665,ok,239.39359252690338
69,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,43.0,log2,12.0,11.0,None,None,None,None,0.9420814479638009,ok,239.98557590786368
70,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,log2,8.0,15.0,None,None,None,None,0.9203619909502262,ok,240.4309679318685
71,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,13.0,log2,14.0,22.0,None,None,None,None,0.9339366515837104,ok,241.01880560605787
