,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
44,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,16.0,None,None,None,None,None,None,7.0,None,distance,0.6166056166056166,ok,203.30057659605518
45,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,29.0,auto,20.0,12.0,None,None,None,None,0.8913308913308914,ok,205.64663746394217
46,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,nnClassifier,identity,None,15,None,None,adaptive,None,None,None,None,3,None,adam,None,0.3907203907203907,ok,214.3896145678591
47,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,30.0,None,None,None,None,None,None,7.0,None,uniform,0.6166056166056166,ok,214.58915355289355
48,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,25.0,sqrt,9.0,25.0,None,None,None,None,0.8901098901098901,ok,217.37245797086507
49,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,42.0,auto,3.0,6.0,None,None,None,None,0.652014652014652,ok,222.20760006294586
50,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,nnClassifier,identity,None,30,None,None,invscaling,None,None,None,None,8,None,lbfgs,None,0.5054945054945055,ok,222.36558361002244
51,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,2.0,None,None,None,None,None,None,1.0,None,distance,0.5470085470085471,ok,222.58553279493935
52,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,51.0,log2,11.0,19.0,None,None,None,None,0.8925518925518926,ok,225.21434676391073
53,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,59.0,sqrt,6.0,27.0,None,None,None,None,0.6642246642246642,ok,228.09391373605467
54,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,14.0,auto,8.0,14.0,None,None,None,None,0.8937728937728938,ok,230.69216200406663
55,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,kneighborsClassifier,None,auto,None,None,39.0,None,None,None,None,None,None,5.0,None,uniform,0.49206349206349204,ok,230.8007742408663
56,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,47.0,auto,13.0,10.0,None,None,None,None,0.8901098901098901,ok,235.10357676097192
57,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,nnClassifier,logistic,None,22,None,None,constant,None,None,None,None,4,None,sgd,None,0.4346764346764347,ok,246.56136043393053
58,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,64.0,log2,6.0,7.0,None,None,None,None,0.8937728937728938,ok,249.5070574809797
59,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,24.0,auto,4.0,18.0,None,None,None,None,0.4945054945054945,ok,252.1786426170729
60,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,13.0,None,None,None,None,None,None,10.0,None,uniform,0.63003663003663,ok,252.3716341969557
61,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,85.0,sqrt,11.0,11.0,None,None,None,None,0.8925518925518926,ok,256.67185043008067
62,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,nnClassifier,tanh,None,11,None,None,constant,None,None,None,None,7,None,sgd,None,0.45054945054945056,ok,289.0068878259044
63,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,73.0,auto,9.0,21.0,None,None,None,None,0.8913308913308914,ok,291.74484603106976
64,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,6.0,25.0,None,None,None,None,0.5128205128205128,ok,297.2784632209223
65,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,34.0,auto,4.0,5.0,None,None,None,None,0.8962148962148963,ok,300.2149673330132
66,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,32.0,auto,3.0,9.0,None,None,None,None,0.8925518925518926,ok,303.0828155998606
67,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,27.0,auto,4.0,8.0,None,None,None,None,0.894993894993895,ok,305.9327370459214
68,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,100.0,auto,7.0,2.0,None,None,None,None,0.8901098901098901,ok,308.6324172948953
69,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,57.0,auto,2.0,5.0,None,None,None,None,0.8888888888888888,ok,311.58256623195484
70,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,53.0,auto,8.0,2.0,None,None,None,None,0.8888888888888888,ok,314.2463092710823
71,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,45.0,auto,5.0,14.0,None,None,None,None,0.8888888888888888,ok,317.0259929220192
72,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,13.0,auto,17.0,7.0,None,None,None,None,0.894993894993895,ok,319.43825682997704
73,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,40.0,auto,3.0,16.0,None,None,None,None,0.8901098901098901,ok,322.2823991100304
74,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,35.0,log2,6.0,4.0,None,None,None,None,0.8937728937728938,ok,325.02669243188575
75,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,2.0,None,None,None,None,None,None,8.0,None,distance,0.6483516483516484,ok,325.11687019187957
76,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,47.0,auto,5.0,12.0,None,None,None,None,0.8913308913308914,ok,327.89390958985314
77,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,nnClassifier,tanh,None,22,None,None,adaptive,None,None,None,None,9,None,adam,None,0.47985347985347987,ok,349.8076268748846
78,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,62.0,sqrt,10.0,30.0,None,None,None,None,0.6666666666666666,ok,352.4887566228863
79,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,8.0,auto,7.0,10.0,None,None,None,None,0.4884004884004884,ok,354.15788228297606
80,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,21.0,auto,4.0,14.0,None,None,None,None,0.8937728937728938,ok,358.9200352120679
81,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,6.0,None,distance,0.5873015873015873,ok,359.091512999963
82,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,nnClassifier,identity,None,15,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.44078144078144077,ok,359.2602448030375
83,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,71.0,auto,2.0,18.0,None,None,None,None,0.47496947496947495,ok,362.0537396289874
84,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,41.0,auto,12.0,7.0,None,None,None,None,0.9010989010989011,ok,364.58717800094746
