activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,15,gini,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,39,invscaling,62,sqrt,20,34,kneighborsClassifier,10,3,adam,distance,0.9936642027455121
relu,brute,29,gini,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,22,adaptive,45,log2,9,29,nnClassifier,3,6,sgd,distance,1.0
relu,ball_tree,9,gini,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,32,invscaling,35,auto,12,10,nnClassifier,5,9,lbfgs,distance,1.0
logistic,kd_tree,31,entropy,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,14,constant,12,log2,15,10,kneighborsClassifier,5,8,sgd,distance,0.996832101372756
relu,ball_tree,13,entropy,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,6,adaptive,67,sqrt,2,2,nnClassifier,4,7,adam,uniform,1.0
relu,ball_tree,16,entropy,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,28,invscaling,56,auto,18,5,randomForestClassifier,4,3,adam,distance,0.9936642027455121
relu,ball_tree,11,entropy,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,2,constant,75,auto,17,8,nnClassifier,2,6,sgd,distance,1.0
relu,ball_tree,27,gini,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,28,adaptive,94,auto,15,30,nnClassifier,6,8,lbfgs,distance,1.0
relu,kd_tree,16,gini,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,36,adaptive,26,auto,13,9,nnClassifier,7,4,adam,distance,1.0
identity,auto,21,entropy,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,40,invscaling,80,auto,11,7,nnClassifier,6,7,adam,uniform,1.0
relu,ball_tree,19,entropy,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,19,adaptive,4,sqrt,12,6,nnClassifier,6,6,adam,distance,1.0
logistic,ball_tree,15,entropy,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,14,invscaling,21,sqrt,17,19,nnClassifier,4,7,sgd,distance,1.0
identity,brute,28,entropy,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,17,constant,5,log2,3,34,randomForestClassifier,8,9,lbfgs,uniform,0.9936642027455121
tanh,auto,28,gini,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,34,invscaling,75,auto,6,33,nnClassifier,4,5,adam,uniform,1.0
logistic,kd_tree,26,entropy,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,39,invscaling,93,auto,18,16,kneighborsClassifier,2,9,sgd,distance,0.9957761351636748
logistic,auto,28,gini,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,16,constant,42,auto,7,4,kneighborsClassifier,5,5,adam,distance,0.996832101372756
relu,kd_tree,26,gini,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,6,adaptive,6,sqrt,10,33,kneighborsClassifier,2,6,sgd,distance,0.996832101372756
tanh,brute,21,gini,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,26,constant,92,auto,8,37,nnClassifier,3,2,lbfgs,uniform,1.0
identity,brute,32,entropy,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,35,adaptive,60,auto,7,35,kneighborsClassifier,7,7,lbfgs,distance,0.9957761351636748
relu,brute,18,entropy,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,23,adaptive,32,log2,12,10,nnClassifier,7,6,sgd,distance,1.0
identity,auto,30,entropy,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,19,constant,34,sqrt,13,24,randomForestClassifier,8,8,adam,uniform,0.9947201689545935
logistic,kd_tree,27,entropy,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,19,invscaling,26,log2,6,29,kneighborsClassifier,5,2,sgd,distance,0.996832101372756
identity,ball_tree,13,entropy,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,35,adaptive,84,sqrt,16,33,kneighborsClassifier,5,3,sgd,distance,0.9957761351636748
identity,kd_tree,15,entropy,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,6,constant,81,log2,9,12,nnClassifier,9,7,adam,distance,1.0
identity,auto,26,entropy,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,6,constant,64,auto,11,26,nnClassifier,7,3,adam,distance,1.0
identity,brute,32,gini,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,9,invscaling,75,auto,2,35,kneighborsClassifier,6,8,adam,distance,0.9957761351636748
