feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,nnRegressor,relu,NA,10,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.46882421566721744,927.5512013435364
0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,nnRegressor,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.5057911407124842,934.4824223518372
0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,nnRegressor,tanh,NA,11,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.4565515366642039,943.8328907489777
1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,nnRegressor,identity,NA,13,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.4998240486358816,950.7689685821533
0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,nnRegressor,identity,NA,22,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.4862655765280278,957.4599571228027
0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,nnRegressor,tanh,NA,9,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.14793862273355363,964.4816546440125
0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,nnRegressor,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.5021277848819348,969.4343285560608
1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,nnRegressor,tanh,NA,18,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.4559788057737387,978.7562479972839
1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,nnRegressor,identity,NA,22,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.3595379209745665,985.9245002269745
0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,nnRegressor,identity,NA,11,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.21237044620988388,990.0704605579376
1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,nnRegressor,identity,NA,17,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.5196377523108465,994.1909227371216
0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,nnRegressor,logistic,NA,20,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.5303308293900065,1000.11554479599
0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,nnRegressor,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.5221993445133545,1004.2020435333252
1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,nnRegressor,identity,NA,32,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.20130044656538382,1012.1998057365417
0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,nnRegressor,identity,NA,17,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.5199768366438875,1016.2946915626526
1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,nnRegressor,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.5023746205902668,1020.9765348434448
1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,nnRegressor,relu,NA,10,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,-0.18287226938366463,1027.4422709941864
0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,nnRegressor,relu,NA,9,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.5312663431030942,1033.0248296260834
0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,81,sqrt,10,9,nan,nan,NA,NA,0.406733116741843,1097.2876949310303
0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,nnRegressor,logistic,NA,23,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.5222849546212536,1101.8855292797089
1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,nnRegressor,logistic,NA,19,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.05202146908572436,1107.2627260684967
