activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,29,gini,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,12,constant,52,auto,17,20,randomForestClassifier,7,9,sgd,uniform,0.5702614379084967
tanh,ball_tree,25,gini,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,32,adaptive,77,auto,4,3,randomForestClassifier,4,3,sgd,uniform,0.5996732026143791
logistic,kd_tree,24,gini,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,35,constant,64,log2,4,3,randomForestClassifier,5,3,adam,uniform,0.5996732026143791
relu,auto,30,gini,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,22,adaptive,10,auto,15,9,randomForestClassifier,4,2,lbfgs,uniform,0.545751633986928
identity,auto,24,gini,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,23,adaptive,65,sqrt,19,11,nnClassifier,7,8,adam,uniform,0.119281045751634
relu,ball_tree,25,entropy,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,34,adaptive,69,auto,18,13,nnClassifier,1,2,sgd,uniform,0.0
logistic,kd_tree,12,gini,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,26,invscaling,100,sqrt,6,37,nnClassifier,9,2,sgd,uniform,0.0
relu,brute,29,gini,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,37,invscaling,65,auto,17,32,randomForestClassifier,1,8,adam,distance,0.5571895424836601
logistic,ball_tree,9,gini,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,7,adaptive,64,log2,4,28,nnClassifier,6,5,sgd,distance,0.12908496732026145
logistic,kd_tree,27,entropy,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,18,invscaling,99,log2,8,10,randomForestClassifier,9,1,lbfgs,distance,0.5816993464052288
relu,brute,12,gini,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,23,adaptive,27,sqrt,9,7,nnClassifier,6,3,sgd,uniform,0.1895424836601307
logistic,ball_tree,29,entropy,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,28,constant,17,auto,3,14,nnClassifier,5,9,lbfgs,uniform,0.1830065359477124
tanh,auto,30,entropy,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,27,constant,36,log2,5,28,nnClassifier,3,1,adam,distance,0.1323529411764706
identity,ball_tree,27,entropy,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,27,constant,88,sqrt,14,4,nnClassifier,7,1,lbfgs,distance,0.13398692810457516
relu,ball_tree,24,gini,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,35,constant,95,auto,15,37,kneighborsClassifier,10,9,adam,distance,0.6029411764705882
logistic,brute,9,entropy,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,17,adaptive,46,log2,8,33,randomForestClassifier,4,2,adam,distance,0.5686274509803921
identity,ball_tree,12,entropy,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,23,adaptive,7,auto,17,21,kneighborsClassifier,4,9,lbfgs,uniform,0.5441176470588235
