,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
54,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,24.0,None,None,None,None,None,None,8.0,None,uniform,0.9636363636363636,ok,125.88680267706513
55,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,nnClassifier,relu,None,24.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.10363636363636364,ok,135.12039333605208
56,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,kneighborsClassifier,None,brute,None,None,37.0,None,None,None,None,None,None,4.0,None,uniform,0.9745454545454545,ok,135.24641856504604
57,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,3,auto,18,7,None,None,None,None,0.8090909090909091,ok,136.40538767795078
58,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,13.0,None,None,None,None,None,None,6.0,None,uniform,0.96,ok,136.5326052159071
59,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,19.0,None,None,None,None,None,None,2.0,None,distance,0.9836363636363636,ok,136.62298507709056
60,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,nnClassifier,relu,None,31.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.10181818181818182,ok,144.39788522897288
61,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,18.0,None,None,None,None,None,None,3.0,None,distance,0.9836363636363636,ok,144.4892784410622
62,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,10.0,None,None,None,None,None,None,3.0,None,distance,0.9854545454545455,ok,144.5908814240247
63,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,86,log2,4,27,None,None,None,None,0.9636363636363636,ok,146.72540951310657
64,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,2.0,None,None,None,None,None,None,5.0,None,distance,0.9727272727272728,ok,146.92976430011913
65,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,9.0,None,None,None,None,None,None,3.0,None,distance,0.9854545454545455,ok,147.03155973204412
66,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,10.0,None,None,None,None,None,None,4.0,None,distance,0.9854545454545455,ok,147.13455652212724
