activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,23,mae,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,38,constant,75,auto,9,11,randomForestRegressor,5,2,adam,uniform,-0.007080637404735413
logistic,brute,13,mse,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,34,invscaling,4,auto,2,37,kneighborsRegressor,4,5,sgd,uniform,0.003641432046374904
relu,auto,15,mae,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,30,invscaling,81,log2,5,4,randomForestRegressor,10,5,sgd,distance,0.3207830881978472
identity,ball_tree,32,mae,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,5,invscaling,13,log2,9,34,randomForestRegressor,4,6,sgd,distance,0.44675582503697187
logistic,auto,21,mae,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,34,invscaling,6,sqrt,16,27,kneighborsRegressor,2,4,adam,distance,0.37617092048654655
tanh,ball_tree,21,mse,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,17,invscaling,71,sqrt,3,30,randomForestRegressor,2,8,sgd,distance,0.21786599612607727
tanh,auto,12,poisson,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,19,invscaling,12,log2,11,17,nnRegressor,5,4,adam,distance,0.12174746138917425
logistic,ball_tree,32,poisson,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,28,constant,51,log2,10,9,randomForestRegressor,6,5,adam,distance,0.05475801184523754
relu,brute,17,mae,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,16,invscaling,34,auto,20,9,nnRegressor,4,9,sgd,distance,-0.16589465721230812
tanh,auto,20,mae,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,28,adaptive,68,auto,13,14,randomForestRegressor,7,9,sgd,uniform,0.027386521722059465
tanh,kd_tree,21,poisson,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,18,adaptive,49,sqrt,6,9,kneighborsRegressor,8,4,lbfgs,distance,0.29381826449048454
tanh,brute,12,mse,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,31,constant,61,log2,2,32,kneighborsRegressor,6,7,lbfgs,distance,0.15832985464696592
tanh,brute,25,poisson,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,36,adaptive,56,sqrt,17,39,nnRegressor,4,2,adam,uniform,0.3230912885708528
